year,species_code,age,males,females,unsexed
2005,30050,5,2337594.8000000003,2669851.8,0
2005,30050,6,1934953.7833333332,347353,0
2005,30050,7,2339183.523809524,1529842.5333333332,0
2005,30050,8,1445939.280952381,1576873.4619047618,0
2005,30050,9,1872135.7916666667,1285725.1202380953,0
2005,30050,10,1326082.2285714285,3366111.1988095236,0
2005,30050,11,1576435.655952381,432590.23333333334,0
2005,30050,12,1623878.1642857143,1363445.3333333333,0
2005,30050,13,569103.8333333334,488847.85714285716,0
2005,30050,14,1101694.580952381,1288701.511904762,0
2005,30050,15,1024112.9392857143,2019609.923809524,0
2005,30050,16,564677.0142857144,1375356.8547619048,0
2005,30050,17,1325973.1642857143,687750.9571428571,0
2005,30050,18,974567.4333333333,363985.2619047619,0
2005,30050,19,816260.6809523809,398925.925,0
2005,30050,20,1068433.1333333333,798035,0
2005,30050,21,395321.475,247367.22857142857,0
2005,30050,22,198981.42222222223,862717.9833333334,0
2005,30050,23,278661.97222222225,417013.36190476187,0
2005,30050,24,272734.3888888889,417673.09285714285,0
2005,30050,25,556777.975,158507.42857142855,0
2005,30050,26,359346.80000000005,512501.35119047615,0
2005,30050,27,511568.8333333333,473971.36904761905,0
2005,30050,28,197819.5,205282.94285714286,0
2005,30050,29,178053.75,308179.4761904762,0
2005,30050,30,52955.22222222222,272920.0666666667,0
2005,30050,31,0,185992,0
2005,30050,32,200212.05555555556,294283.3333333333,0
2005,30050,33,357721.375,214260.4583333333,0
2005,30050,34,92913.1,116423.14285714286,0
2005,30050,35,330251.6666666666,291512.30000000005,0
2005,30050,36,116956.22222222222,411834.86666666664,0
2005,30050,38,64001,160244.8,0
2005,30050,39,86701,83865,0
2005,30050,41,0,351140.6666666666,0
2005,30050,42,142009.5,60409,0
2005,30050,43,67243.33333333333,170644.93333333335,0
2005,30050,44,378523,14065.5,0
2005,30050,45,0,88859.8,0
2005,30050,46,0,39177,0
2005,30050,47,0,59307.33333333333,0
2005,30050,48,176013.7,181117.79166666666,0
2005,30050,49,0,88859.8,0
2005,30050,51,19218,0,0
2005,30050,52,0,47482.33333333333,0
2005,30050,53,71732,0,0
2005,30050,54,0,111337.6,0
2005,30050,55,0,26164.666666666664,0
2005,30050,57,0,47896,0
2005,30050,60,35866,0,0
2005,30050,63,0,0,0
2005,30050,66,80013.5,0,0
2005,30050,68,14611,0,0
2005,30050,75,7853.5,0,0
2005,30050,78,30459,0,0
2005,30050,89,47653,0,0
2005,30050,96,51815,0,0
2005,30050,98,80013.5,0,0
2005,30050,102,50780,0,0
2007,30051,3,360290.5,0,0
2007,30051,4,172697.5,244360,0
2007,30051,5,593911.5,1145533.6666666665,0
2007,30051,6,2759473.5,1599943.0833333333,0
2007,30051,7,635697.3,1598778.75,0
2007,30051,8,80935,647313,0
2007,30051,9,855010.9666666667,1076650.6666666667,0
2007,30051,10,994304.6666666666,583821.1666666666,0
2007,30051,11,357496.15,649844.75,0
2007,30051,12,745854.3333333333,512821.1666666666,0
2007,30051,13,681202.3333333333,1272002.1666666667,0
2007,30051,14,485133,113673.66666666666,0
2007,30051,15,107853,378195.3333333333,0
2007,30051,16,486170.75,838878.75,0
2007,30051,17,808426,767258.7,0
2007,30051,18,1061275,0,0
2007,30051,19,0,611151.6666666666,0
2007,30051,20,600950,458291.4,0
2007,30051,21,135336.75,478952.1666666666,0
2007,30051,22,291213,60959.200000000004,0
2007,30051,23,243189.75,417635.8333333333,0
2007,30051,24,110333,82511.40000000001,0
2007,30051,25,283413,60959.200000000004,0
2007,30051,26,157696.66666666666,88402.25,0
2007,30051,27,157696.66666666666,325006.5,0
2007,30051,28,0,82511.40000000001,0
2007,30051,30,0,213180.25,0
2007,30051,32,0,135472.66666666666,0
2007,30051,33,25663.333333333332,0,0
2007,30051,35,25663.333333333332,0,0
2007,30051,36,0,216729.91666666666,0
2007,30051,37,0,165022.80000000002,0
2007,30051,42,89431,128327.66666666666,0
2007,30051,43,89431,0,0
2007,30051,45,0,277293.1666666666,0
2007,30051,46,291693,0,0
2007,30051,47,298013,0,0
2007,30051,49,0,424052,0
2007,30051,61,0,82511.40000000001,0
2007,30051,62,0,32275,0
2007,30051,63,0,88402.25,0
2007,30051,67,0,0,0
2007,30052,2,0,8676,0
2007,30052,3,0,19214.5,0
2007,30052,4,77072,43661.33333333333,4922
2007,30052,5,119765.5,51707.33333333333,15591
2007,30052,6,146376.5,116511.83333333333,6565
2007,30052,7,130014,137479.0833333333,2461
2007,30052,8,0,31556.333333333332,0
2007,30052,9,405813.4,369546.4166666666,2461
2007,30052,10,104234,244711,2461
2007,30052,11,64715.25,208924.25,0
2007,30052,12,325262.25,270109.4,0
2007,30052,13,532308.95,315105.3333333333,0
2007,30052,14,0,275478.7,0
2007,30052,15,712010.2333333333,391330.3,0
2007,30052,16,232969.6,547263.5833333334,0
2007,30052,17,352748.3333333333,467337.5833333333,0
2007,30052,18,601803.1833333333,371368.98333333334,0
2007,30052,19,849541.7666666667,374913.25,0
2007,30052,20,393716.9,189756.3,0
