species_code,stratum,hauljoin,vessel,cruise,sex,length,age,year
30060,41,-4539,94,200801,2,450,25,2008
30060,41,-4539,94,200801,2,430,18,2008
30060,41,-4539,94,200801,2,270,6,2008
30060,41,-4539,94,200801,1,360,12,2008
30060,41,-4539,94,200801,1,350,12,2008
30060,41,-4539,94,200801,1,430,22,2008
30060,41,-4539,94,200801,1,420,32,2008
10115,52,-4543,94,200801,1,610,15,2008
10115,52,-4543,94,200801,1,650,15,2008
10115,64,-4546,94,200801,1,720,16,2008
10115,64,-4546,94,200801,2,590,10,2008
10115,64,-4546,94,200801,1,750,26,2008
10115,63,-4547,94,200801,1,600,11,2008
10115,63,-4547,94,200801,1,700,31,2008
10115,63,-4547,94,200801,1,690,18,2008
10115,63,-4547,94,200801,1,640,11,2008
10115,63,-4547,94,200801,2,820,24,2008
10115,63,-4547,94,200801,2,830,25,2008
10115,63,-4547,94,200801,2,650,12,2008
10115,62,-4548,94,200801,2,1010,22,2008
10115,62,-4548,94,200801,2,960,26,2008
10115,62,-4548,94,200801,2,850,NA,2008
10115,62,-4548,94,200801,2,520,8,2008
10115,62,-4548,94,200801,2,910,NA,2008
10115,62,-4548,94,200801,1,530,8,2008
10115,62,-4548,94,200801,1,520,10,2008
10115,62,-4548,94,200801,1,670,19,2008
10115,62,-4548,94,200801,1,580,12,2008
10115,61,-4549,94,200801,2,520,13,2008
10115,62,-4550,94,200801,1,500,10,2008
10115,62,-4550,94,200801,1,750,22,2008
10115,62,-4550,94,200801,1,550,7,2008
10115,62,-4550,94,200801,1,780,30,2008
10115,62,-4550,94,200801,1,810,24,2008
10115,62,-4550,94,200801,2,920,NA,2008
10115,62,-4550,94,200801,2,570,8,2008
10115,62,-4550,94,200801,2,940,22,2008
10115,62,-4550,94,200801,2,750,10,2008
10115,62,-4550,94,200801,2,550,10,2008
10115,62,-4550,94,200801,2,900,20,2008
10115,62,-4550,94,200801,2,990,28,2008
10115,62,-4550,94,200801,2,690,11,2008
10115,62,-4553,94,200801,2,680,11,2008
10115,62,-4553,94,200801,2,610,9,2008
10115,62,-4553,94,200801,2,520,9,2008
10115,62,-4553,94,200801,2,620,NA,2008
10115,62,-4553,94,200801,1,680,11,2008
10115,62,-4553,94,200801,1,610,11,2008
10115,62,-4553,94,200801,1,650,10,2008
10115,62,-4553,94,200801,1,710,19,2008
10115,62,-4553,94,200801,1,570,11,2008
10115,62,-4553,94,200801,1,730,23,2008
10115,62,-4553,94,200801,1,740,18,2008
10115,62,-4553,94,200801,1,700,20,2008
10115,62,-4553,94,200801,2,580,9,2008
10115,62,-4553,94,200801,1,600,11,2008
10115,62,-4553,94,200801,1,740,33,2008
10115,62,-4553,94,200801,2,570,12,2008
10115,62,-4553,94,200801,2,480,8,2008
10115,62,-4553,94,200801,2,490,8,2008
10115,62,-4553,94,200801,2,640,8,2008
10115,62,-4553,94,200801,2,540,7,2008
10115,62,-4553,94,200801,2,710,13,2008
10115,62,-4553,94,200801,1,540,7,2008
