year,species_code,length,males,females,unsexed
2021,10112,260,1140304,1385639,275243
2017,10112,270,3289628,2001303,0
2018,10112,270,1699967,1649007,16548
2019,10112,270,1483782,1497864,0
2021,10112,270,1093281,1341983,290686
2017,10112,280,3573262,3425185,0
2018,10112,280,2051962,1306108,33097
2019,10112,280,1962866,1054231,0
2021,10112,280,906597,741435,285539
2017,10112,290,2955645,2800670,0
2018,10112,290,2419615,1874351,33097
2019,10112,290,1441976,974191,0
2021,10112,290,1197620,759420,227402
2017,10112,300,1837853,2534259,0
2018,10112,300,2748821,2478900,33097
2019,10112,300,942927,782932,0
2021,10112,300,695149,878786,174412
2017,10112,310,2328160,1732663,0
2018,10112,310,2206879,2207270,33097
2019,10112,310,984055,693611,0
2021,10112,310,1043482,826211,116274
2017,10112,320,1706363,1494749,0
2018,10112,320,2182830,2424412,49645
2019,10112,320,1169993,1160177,0
2021,10112,320,843493,698055,0
2017,10112,330,1435494,1958653,0
2018,10112,330,1808692,1871989,33097
2019,10112,330,1698628,1318387,0
2021,10112,330,999784,764885,58137
2017,10112,340,1155582,1707635,0
2018,10112,340,1523116,1312089,16548
2019,10112,340,1890539,2150529,0
2021,10112,340,537377,879627,192170
2017,10112,350,1394184,1467281,0
2018,10112,350,1360575,1948016,33097
2019,10112,350,2588483,1577419,0
2021,10112,350,874741,688295,27054
2017,10112,360,2028154,1017561,0
2018,10112,360,1369388,1304940,33097
2019,10112,360,2056156,1808785,0
2021,10112,360,1257473,799208,174412
2017,10112,370,1407499,1261075,0
2018,10112,370,1091371,814023,0
2019,10112,370,2286702,2221545,0
2021,10112,370,745617,989322,174412
2017,10112,380,1365194,1126691,0
2018,10112,380,1023129,973318,16548
2019,10112,380,1934480,2032677,0
2021,10112,380,1036689,784195,58137
2017,10112,390,921072,1118450,0
2018,10112,390,1010324,1182733,0
2019,10112,390,1871545,1620249,0
2021,10112,390,512368,878887,37643
2017,10112,400,1272343,1030654,0
2018,10112,400,1013209,1005940,0
2019,10112,400,1300967,1400196,0
2021,10112,400,881135,771660,0
2017,10112,410,653431,1326516,0
2018,10112,410,879152,1102307,16548
2019,10112,410,1380413,1601825,0
2021,10112,410,1288183,547875,18821
2017,10112,420,1819888,977289,0
2018,10112,420,1390115,1394244,0
2019,10112,420,1032911,938605,0
2021,10112,420,731410,650476,0
2017,10112,430,1097905,1015962,0
2018,10112,430,1273178,838153,0
2019,10112,430,839588,940652,0
2021,10112,430,504866,706262,90687
2017,10112,440,1071402,1122898,0
