year,species_code,length,males,females,unsexed
1980,REBS,650,0,0,0
1983,REBS,650,0,0,0
1986,REBS,650,0,5393,0
1991,REBS,650,0,0,0
1994,REBS,650,0,0,0
1997,REBS,650,0,0,0
2000,REBS,650,0,0,0
2002,REBS,650,0,0,0
2004,REBS,650,0,0,0
1980,REBS,670,0,0,0
1983,REBS,670,0,0,0
1986,REBS,670,0,0,0
1991,REBS,670,0,0,0
1994,REBS,670,0,0,0
1997,REBS,670,0,0,0
2000,REBS,670,0,0,0
2002,REBS,670,0,0,0
2004,REBS,670,9111,6026,0
1980,REBS,680,0,0,0
1983,REBS,680,0,0,0
1986,REBS,680,0,0,0
1991,REBS,680,0,0,0
1994,REBS,680,0,0,0
1997,REBS,680,0,0,0
2000,REBS,680,0,0,0
2002,REBS,680,0,6903,0
2004,REBS,680,0,0,0
1980,REBS,690,0,0,0
1983,REBS,690,0,0,0
1986,REBS,690,0,0,0
1991,REBS,690,0,0,0
1994,REBS,690,8743,0,0
1997,REBS,690,0,0,0
2000,REBS,690,0,0,0
2002,REBS,690,0,0,0
2004,REBS,690,0,0,0
1980,REBS,730,0,0,0
1983,REBS,730,0,0,0
1986,REBS,730,0,785,0
1991,REBS,730,0,0,0
1994,REBS,730,0,0,0
1997,REBS,730,0,0,0
2000,REBS,730,0,0,0
2002,REBS,730,0,0,0
2004,REBS,730,0,0,0
2006,REBS,110,0,0,0
2010,REBS,110,0,0,12313
2012,REBS,110,0,0,0
2014,REBS,110,0,0,0
2016,REBS,110,0,0,0
2018,REBS,110,0,0,0
2006,REBS,140,0,0,0
2010,REBS,140,0,0,0
2012,REBS,140,0,0,0
2014,REBS,140,0,0,0
2016,REBS,140,0,0,0
2018,REBS,140,5181,0,0
2006,REBS,150,0,5848,0
2010,REBS,150,0,0,0
2012,REBS,150,0,0,0
2014,REBS,150,0,0,0
2016,REBS,150,0,0,0
2018,REBS,150,0,0,0
2006,REBS,170,5415,0,0
2010,REBS,170,0,0,0
2012,REBS,170,0,0,0
2014,REBS,170,0,0,0
2016,REBS,170,0,0,0
2018,REBS,170,5181,0,0
2006,REBS,180,0,5415,0
2010,REBS,180,0,0,0
2012,REBS,180,0,0,0
2014,REBS,180,0,0,0
2016,REBS,180,0,0,0
2018,REBS,180,0,0,0
2006,REBS,190,0,0,0
2010,REBS,190,0,0,0
2012,REBS,190,0,3681,0
2014,REBS,190,4845,0,0
2016,REBS,190,0,0,0
2018,REBS,190,0,0,0
2006,REBS,200,6011,0,0
2010,REBS,200,0,7458,0
2012,REBS,200,0,0,0
2014,REBS,200,0,0,0
2016,REBS,200,0,0,0
2018,REBS,200,0,0,0
2006,REBS,210,0,5415,0
2010,REBS,210,0,0,0
2012,REBS,210,0,0,0
2014,REBS,210,0,0,0
2016,REBS,210,0,4602,0
2018,REBS,210,0,0,0
2006,REBS,220,0,0,0
2010,REBS,220,0,0,0
2012,REBS,220,0,0,0
2014,REBS,220,0,5318,0
2016,REBS,220,0,0,0
2018,REBS,220,0,0,0
2006,REBS,230,0,5415,0
2010,REBS,230,0,3729,0
2012,REBS,230,0,0,0
2014,REBS,230,0,0,0
2016,REBS,230,0,0,0
2018,REBS,230,0,3925,0
2006,REBS,240,0,5415,0
2010,REBS,240,0,0,0
2012,REBS,240,0,0,0
2014,REBS,240,0,0,0
2016,REBS,240,0,0,0
2018,REBS,240,0,3925,0
2006,REBS,250,0,0,0
2010,REBS,250,3729,0,0
2012,REBS,250,0,0,0
2014,REBS,250,0,0,0
2016,REBS,250,0,0,0
2018,REBS,250,0,0,0
2006,REBS,270,0,6011,0
2010,REBS,270,0,0,0
2012,REBS,270,0,3681,0
2014,REBS,270,0,0,0
2016,REBS,270,0,0,0
2018,REBS,270,0,0,0
2006,REBS,280,0,6011,0
2010,REBS,280,0,10071,0
2012,REBS,280,0,3681,0
2014,REBS,280,0,0,0
2016,REBS,280,0,0,0
2018,REBS,280,0,0,0
2006,REBS,290,6011,5848,0
2010,REBS,290,0,0,0
2012,REBS,290,0,0,0
2014,REBS,290,0,0,0
2016,REBS,290,0,0,0
2018,REBS,290,0,0,0
2006,REBS,300,5415,0,0
2010,REBS,300,0,0,0
2012,REBS,300,0,0,0
2014,REBS,300,0,0,0
2016,REBS,300,13520,0,0
2018,REBS,300,0,0,0
2006,REBS,320,0,5848,0
2010,REBS,320,0,0,0
2012,REBS,320,0,0,0
2014,REBS,320,0,0,0
2016,REBS,320,0,0,0
2018,REBS,320,0,0,0
2006,REBS,330,11696,5848,0
2010,REBS,330,0,0,0
2012,REBS,330,0,0,0
2014,REBS,330,0,0,0
2016,REBS,330,0,0,0
2018,REBS,330,0,0,0
2006,REBS,340,33788,23391,0
2010,REBS,340,0,0,0
2012,REBS,340,0,0,0
2014,REBS,340,0,0,0
2016,REBS,340,0,0,0
2018,REBS,340,0,0,0
2006,REBS,350,23391,5848,0
2010,REBS,350,0,0,0
2012,REBS,350,0,0,0
2014,REBS,350,0,0,0
2016,REBS,350,0,0,0
2018,REBS,350,0,0,0
2006,REBS,360,11696,11263,0
2010,REBS,360,0,0,0
2012,REBS,360,3681,2506,0
2014,REBS,360,4845,0,0
2016,REBS,360,0,0,0
2018,REBS,360,3925,0,0
2006,REBS,370,11263,4856,0
2010,REBS,370,0,0,0
2012,REBS,370,0,0,0
2014,REBS,370,0,0,0
2016,REBS,370,0,0,0
2018,REBS,370,0,7850,0
2006,REBS,380,22526,5415,0
2010,REBS,380,15928,0,0
2012,REBS,380,8041,0,0
2014,REBS,380,0,0,0
2016,REBS,380,0,0,0
2018,REBS,380,0,0,0
2006,REBS,390,10830,5848,0
2010,REBS,390,0,0,0
2012,REBS,390,4460,0,0
2014,REBS,390,5160,0,0
2016,REBS,390,0,0,0
2018,REBS,390,2840,0,0
2006,REBS,400,9000,0,0
2010,REBS,400,0,18528,0
2012,REBS,400,0,0,0
2014,REBS,400,0,4845,0
2016,REBS,400,0,3333,0
2018,REBS,400,0,0,0
2006,REBS,410,17788,0,0
2010,REBS,410,9252,0,0
2012,REBS,410,0,3150,0
2014,REBS,410,0,0,0
2016,REBS,410,0,0,0
2018,REBS,410,0,0,0
2006,REBS,420,17548,22188,0
2010,REBS,420,12177,0,0
2012,REBS,420,0,3077,3552
2014,REBS,420,2603,12454,0
2016,REBS,420,0,0,0
2018,REBS,420,0,0,0
2006,REBS,430,6524,46664,0
2010,REBS,430,0,11899,0
2012,REBS,430,0,0,0
2014,REBS,430,2154,0,0
2016,REBS,430,13299,0,0
2018,REBS,430,0,8952,0
2006,REBS,440,26047,9953,0
2010,REBS,440,0,8769,0
2012,REBS,440,6222,0,0
2014,REBS,440,2704,8440,0
2016,REBS,440,14167,0,0
2018,REBS,440,0,3224,0
2006,REBS,450,19994,4500,0
2010,REBS,450,3130,34591,0
2012,REBS,450,0,0,0
2014,REBS,450,0,0,0
2016,REBS,450,0,0,0
2018,REBS,450,0,12370,0
2006,REBS,460,11977,15378,0
2010,REBS,460,22190,0,0
2012,REBS,460,0,11819,0
2014,REBS,460,0,0,0
2016,REBS,460,0,0,0
2018,REBS,460,0,0,0
2006,REBS,470,0,0,0
2010,REBS,470,8769,17778,0
2012,REBS,470,0,28838,0
2014,REBS,470,7522,8440,0
2016,REBS,470,0,0,0
2018,REBS,470,0,0,0
2006,REBS,480,13856,5769,0
2010,REBS,480,26518,4720,0
2012,REBS,480,0,12210,0
2014,REBS,480,0,0,0
2016,REBS,480,0,13299,0
2018,REBS,480,0,0,0
2006,REBS,490,0,4500,0
2010,REBS,490,9759,0,0
2012,REBS,490,3077,0,0
2014,REBS,490,12859,10594,0
2016,REBS,490,0,0,0
2018,REBS,490,0,35154,0
2006,REBS,500,0,20620,0
2010,REBS,500,0,0,0
2012,REBS,500,0,0,0
2014,REBS,500,0,2644,0
2016,REBS,500,0,0,0
2018,REBS,500,0,0,0
2006,REBS,510,4500,0,0
2010,REBS,510,0,9775,0
2012,REBS,510,0,0,0
2014,REBS,510,0,0,0
2016,REBS,510,0,0,0
2018,REBS,510,0,0,0
2006,REBS,520,4500,0,0
2010,REBS,520,0,0,0
